src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp,traffic_volume,packet_flags,payload_content,connection_duration,geolocation_data,dns_request_pattern,user_info
192.136.14.171,7.20.43.155,45178,22450,ICMP,521,2023-10-25 12:00:56,2332,FIN,Energy imagine before follow consider.,1756,Pakistan,Failed,karl51
143.159.139.240,175.199.107.122,60051,52643,ICMP,626,2023-10-24 19:17:56,6136,ACK,Ever sometimes civil bring decide for success. Each happen difficult.,2832,Netherlands Antilles,Suspicious,miguel12
87.186.236.106,153.31.219.67,49962,53133,TCP,819,2023-10-24 23:19:15,347,FIN,Lot ago western available over. Since writer industry player large hundred choice.,2495,Nepal,Failed,erikramirez
31.90.135.175,196.184.11.135,30516,24442,TCP,396,2023-10-25 04:19:52,1840,SYN,Cause her world movie authority my own. Finish energy education half senior gun.,2063,British Virgin Islands,Normal,amanda31
71.94.209.183,207.123.249.162,22839,65134,ICMP,1289,2023-10-25 04:45:48,7188,FIN,Care herself exist. Paper if arm offer.,2603,Chad,Normal,isloan
60.218.179.254,115.99.244.232,11329,15348,ICMP,1285,2023-10-25 09:53:09,3741,ACK,Look can perhaps offer whom least school.,2322,Heard Island and McDonald Islands,Suspicious,lisashaw
146.39.54.122,178.245.208.200,48288,56392,UDP,232,2023-10-25 00:30:53,1110,RST,Already difference community case soon. Dog open paper nothing do interview.,2489,Tuvalu,Normal,taylor07
15.72.76.219,142.173.38.161,21123,24087,TCP,1478,2023-10-24 16:20:12,4408,SYN,Need the compare economic treatment nearly check. Similar wait beat game daughter.,1480,Saint Martin,Suspicious,barryandrew
114.125.32.95,14.80.93.196,2548,55124,TCP,335,2023-10-25 11:47:20,5866,FIN,Exactly debate though behind ahead necessary. Nation not management win factor remember.,1176,Philippines,Failed,davisjames
28.57.72.221,43.29.31.189,28150,60857,ICMP,1421,2023-10-24 16:30:40,508,FIN,Modern left yeah whom TV question fly cell. Cup adult material recent. Huge approach evidence city.,1763,Honduras,Suspicious,xlyons
12.126.188.250,53.52.169.48,23749,63971,TCP,930,2023-10-24 15:48:55,1094,FIN,She hour each to. Response miss realize party. Tend evidence spring nature culture.,2887,Bahamas,Suspicious,moorescott
120.140.204.26,57.118.215.27,17226,36260,TCP,1278,2023-10-25 01:04:23,7830,FIN,Remember professor young truth loss whose. Road see thank. And agent plan put the special.,3228,Kenya,Normal,fryeisaac
92.185.252.143,96.99.36.133,34930,19341,UDP,363,2023-10-25 05:46:33,8816,ACK,Movie former TV loss improve box. Billion unit nation all. Available list election.,2585,Bouvet Island (Bouvetoya),Suspicious,cheryl17
198.7.21.100,113.255.2.168,18515,6785,ICMP,1293,2023-10-25 11:21:35,7405,SYN,Organization behind grow indicate both own. Technology poor she where still cover friend major.,2851,Libyan Arab Jamahiriya,Failed,jonathanhester
96.215.11.215,14.99.227.135,11245,34242,TCP,271,2023-10-25 07:38:27,5878,SYN,View wait nearly operation. Could to plan significant since article.,285,Greece,Suspicious,qsellers
35.130.237.222,178.174.180.16,26685,49800,UDP,397,2023-10-25 09:39:28,5422,SYN,Water indeed floor black. Black standard identify nature.,624,Palestinian Territory,Suspicious,samuel55
184.42.210.196,68.203.193.50,2449,48617,UDP,923,2023-10-24 18:33:32,7203,SYN,Through wait develop why assume apply.,246,Palau,Normal,hhaas
50.158.4.195,25.243.191.255,62850,57508,UDP,146,2023-10-25 05:28:23,9731,RST,Democratic operation city cup fire wait see. Up local there including begin break.,267,Ecuador,Suspicious,baldwinann
60.186.83.248,212.186.39.199,59096,37939,UDP,1032,2023-10-25 05:07:01,8412,FIN,Care real region against laugh certain. Walk cost yet thank. Glass wear yes something him ok.,3379,Ghana,Suspicious,yherrera
216.232.96.79,191.153.209.205,27004,48609,TCP,769,2023-10-24 18:36:07,2589,RST,Realize value speak group difficult learn. Parent cup city goal picture benefit.,1878,Germany,Failed,matthewhernandez
95.108.100.178,74.222.56.123,2762,25948,ICMP,1112,2023-10-25 13:54:13,2915,RST,Huge about evidence thousand many.,3306,Zambia,Suspicious,brian17
143.34.45.179,103.181.141.138,52184,5675,TCP,1367,2023-10-24 21:02:37,3967,ACK,Very per poor father ask sing although. Agree standard defense family deal.,924,French Polynesia,Suspicious,ehernandez
128.90.8.148,106.126.61.17,46622,56384,ICMP,830,2023-10-25 01:39:59,7976,ACK,Upon base popular all treatment exactly argue career.,108,Uganda,Suspicious,alyssaperez
60.126.216.149,44.127.211.7,57092,280,TCP,1022,2023-10-25 07:36:27,3555,RST,Food unit professional. Yard million back fact. Up rate trouble mouth. Few fund safe rock director.,2428,Reunion,Normal,wrightjason
94.23.72.140,206.147.184.252,32234,54880,TCP,1045,2023-10-25 13:52:30,2479,SYN,Couple knowledge challenge nothing style. Range woman direction admit. Fact group determine set.,2812,Saint Vincent and the Grenadines,Suspicious,hensonjamie
116.167.104.52,169.175.9.243,26525,17221,UDP,806,2023-10-25 04:52:19,3395,ACK,Culture summer food particularly from product daughter. Stuff view establish too another as seem.,2155,Bhutan,Normal,tamaramacias
142.13.28.233,214.22.43.105,6064,10947,UDP,928,2023-10-25 04:41:57,5927,SYN,Pass free avoid recognize. Could all entire step.,251,Uganda,Suspicious,jacob61
150.52.91.178,80.224.150.101,44907,40074,ICMP,855,2023-10-24 14:38:04,8284,ACK,Break two range surface ten improve. Region surface save laugh know.,2358,Yemen,Normal,martineztracy
116.131.203.246,106.11.107.200,8692,31885,UDP,550,2023-10-25 13:04:49,8795,ACK,Level law human record. Voice seem reveal tree.,2658,United States of America,Suspicious,martinalicia
181.218.112.185,220.45.26.156,53025,16050,UDP,83,2023-10-24 20:18:40,5271,RST,Sea trial all current sometimes place. Accept mouth product society four word drop.,1549,Jamaica,Failed,georgemyers
165.63.190.150,184.72.116.54,16019,30747,TCP,361,2023-10-24 16:19:55,9744,FIN,Many hour pass cultural kid. Employee local often live only guess.,608,Iran,Suspicious,garciadanny
188.101.6.95,67.18.30.197,49176,4202,TCP,1210,2023-10-25 03:22:13,7178,ACK,Reach sell now could. Might amount author meet job.,886,El Salvador,Failed,christopheranderson
16.50.52.105,116.173.52.55,34911,41274,UDP,1127,2023-10-25 01:17:19,6290,SYN,Around our since local. Space entire side what. Hold enter top wind six catch.,1986,Liberia,Failed,brianmartinez
7.134.0.77,97.250.75.8,58572,27900,ICMP,888,2023-10-25 02:35:13,6095,RST,"Nor per firm yes. May such provide be loss space consider.
Expert far easy course.",2669,Holy See (Vatican City State),Suspicious,andersonstephen
10.210.76.90,140.184.34.115,17558,34424,ICMP,680,2023-10-24 22:46:56,5569,RST,Office over line old southern mouth. Throw poor generation at.,1675,Brazil,Suspicious,debrafox
200.1.234.197,57.220.170.126,8648,32315,TCP,464,2023-10-24 14:40:47,2840,FIN,Everybody husband range fall foreign. Financial suggest party as training family. Role ready agree.,896,Angola,Normal,welchdouglas
97.149.34.102,42.179.161.165,42431,61033,TCP,482,2023-10-25 04:34:19,6742,ACK,State form home explain size still quickly.,2047,Indonesia,Normal,hardymichael
33.66.251.218,169.54.101.65,51382,30494,UDP,1464,2023-10-25 10:10:33,2433,ACK,Catch front civil outside try. Tell option reveal whether town thus. Mind us always cultural ok.,2898,Eritrea,Suspicious,berryrichard
193.146.230.45,214.187.55.102,34895,32298,TCP,900,2023-10-25 10:32:39,3265,ACK,Including someone way the. Look development second either shake senior door quite.,1204,Tuvalu,Normal,mary93
44.129.185.171,176.215.56.140,18984,52850,ICMP,1143,2023-10-24 18:54:09,370,RST,Since lot yes lawyer. Remember may new spend these. Explain audience film.,520,Marshall Islands,Failed,rflynn
63.114.70.160,160.106.147.2,54608,45033,TCP,779,2023-10-25 10:26:59,8102,RST,Share recently fast degree light stage. Sense company price activity.,2662,Guadeloupe,Failed,danielle23
52.231.57.57,138.38.61.103,8449,41135,ICMP,379,2023-10-25 03:29:11,4780,RST,High western include interview quickly. End organization image their would.,3552,Bermuda,Failed,bradleymadison
66.48.89.38,178.226.231.108,58762,14060,TCP,275,2023-10-24 16:30:08,1340,RST,Move laugh what someone provide find. Else run score paper.,2751,Guatemala,Normal,jasonsparks
139.244.224.219,142.184.36.181,1861,4108,TCP,613,2023-10-25 01:25:54,433,FIN,Be man skin be western mean talk.,2762,Croatia,Failed,dcopeland
83.212.21.199,40.53.161.117,44220,26858,UDP,845,2023-10-25 09:32:09,7758,FIN,In moment may policy. Certain cell another wait father.,1704,Pakistan,Suspicious,kirkanthony
113.187.171.59,84.181.117.147,10993,36161,ICMP,1099,2023-10-25 07:34:53,6216,FIN,Let discover order good world budget government.,573,Madagascar,Failed,ochoakathleen
171.19.185.10,62.113.176.194,5260,58322,UDP,1065,2023-10-25 05:59:04,4441,ACK,Within war worry send turn. Beautiful employee hotel.,702,Suriname,Failed,qrogers
40.79.24.168,77.74.73.74,25013,44480,UDP,1435,2023-10-25 10:15:33,3962,RST,Hour rich whatever just special. Physical age success. Admit film herself somebody.,2567,Vanuatu,Failed,ttran
64.198.188.43,61.138.248.137,45971,16310,TCP,1355,2023-10-25 02:02:06,8381,FIN,Major true car down Democrat. Argue join hotel instead.,1774,Gibraltar,Suspicious,chelsey88
48.52.7.47,5.110.251.16,14830,44744,TCP,794,2023-10-25 09:19:05,2874,FIN,Tend identify recently force carry design past.,2997,Palestinian Territory,Suspicious,anita22
143.70.59.13,221.152.125.235,1574,59244,UDP,297,2023-10-24 23:43:38,1865,RST,Fast study off though agent. Tonight my speak business.,2506,Papua New Guinea,Failed,michael24
88.233.7.15,183.241.255.69,34630,26464,ICMP,697,2023-10-25 12:35:18,6451,FIN,Voice yard generation somebody wish collection. Girl get only final. Prevent carry film by.,159,Norway,Failed,randyhuff
37.215.135.130,96.146.99.250,21279,65459,ICMP,1038,2023-10-25 03:40:21,3606,RST,"Thus say box step look develop.
Environment talk home development against by. Second big ball play.",2032,Chad,Suspicious,ronaldbaker
7.249.26.168,170.137.232.155,21063,7945,UDP,271,2023-10-25 01:30:37,6973,RST,Forget pattern thus move bill hundred trial piece.,2124,Norfolk Island,Suspicious,patrick34
195.0.55.137,125.58.137.95,1335,5964,TCP,1420,2023-10-24 23:25:18,316,RST,Join help contain type on. Attack economy guy body gun paper.,1038,Antigua and Barbuda,Suspicious,obell
165.187.255.204,161.24.46.163,14609,7999,TCP,1116,2023-10-25 12:14:36,1281,RST,Sure make officer western possible rock true. Moment movement world throw shoulder run skill want.,3302,United Arab Emirates,Failed,deborah54
216.123.182.12,74.236.81.142,60022,22632,ICMP,942,2023-10-25 08:51:41,5753,ACK,Building of happen. Home seat safe deal can kitchen.,313,Uzbekistan,Suspicious,craighunt
85.209.30.211,129.55.221.117,14416,28992,UDP,1114,2023-10-25 09:04:58,9739,ACK,Last military fast beyond conference degree marriage.,534,Panama,Failed,klester
166.120.102.51,24.232.87.85,48567,53102,ICMP,157,2023-10-24 17:51:12,8778,ACK,Parent student effect series affect. Adult quickly care fast.,2171,Gambia,Normal,uwilson
85.99.110.224,187.146.147.52,40765,57845,UDP,1456,2023-10-24 17:42:37,8317,ACK,Then military president three else. Anything early will glass police form camera.,2342,Tanzania,Failed,juanwright
37.234.169.204,155.73.115.6,44501,31415,UDP,886,2023-10-24 20:38:30,2882,RST,Place peace vote control determine receive throw.,672,Reunion,Normal,steven92
117.166.75.46,223.102.231.218,23042,57844,ICMP,1335,2023-10-24 16:34:55,5283,SYN,Let industry finally help open since attention example. From vote sign with measure also.,309,Yemen,Normal,thomaslambert
214.63.237.237,57.50.198.23,45638,54001,ICMP,218,2023-10-24 20:15:03,7021,FIN,Art today always face. Movie sort parent level author. Stock young final key market computer many.,1937,Vanuatu,Suspicious,gouldjames
186.18.82.155,135.143.58.103,46147,63970,ICMP,831,2023-10-24 16:11:39,5976,RST,Daughter at late environment network three interest. Spend occur admit own give seven husband.,3356,Romania,Failed,chapmancaleb
160.91.24.118,149.155.150.219,44159,27810,ICMP,302,2023-10-25 00:54:29,2389,FIN,Business grow form research claim development continue. Itself true morning ago mention life stand.,2882,Nicaragua,Failed,loliver
32.221.143.228,138.203.18.162,12406,29156,TCP,290,2023-10-25 00:32:17,7098,ACK,Start off someone floor onto. Inside instead effect energy through yet.,544,Macao,Normal,nmiller
112.99.210.151,187.143.36.81,42014,64227,UDP,1358,2023-10-25 09:15:00,960,FIN,Him decision suffer institution as carry. However imagine strong sort.,2147,Iraq,Suspicious,johnsonrobert
115.8.98.179,10.143.46.140,49305,63253,TCP,1181,2023-10-25 06:56:10,3354,RST,Wonder course right must will reality surface seven. Building some window.,819,French Guiana,Failed,rnewman
43.60.120.244,203.32.185.5,5936,30880,UDP,548,2023-10-25 12:50:09,3377,ACK,Degree source development. Federal article avoid consider.,3423,Hungary,Normal,michael36
107.115.160.13,77.12.160.101,33564,19290,UDP,742,2023-10-24 16:06:36,5208,FIN,Especially out continue political.,3472,Norway,Suspicious,wsims
195.203.249.90,191.196.172.91,38592,41249,UDP,434,2023-10-25 01:27:16,2106,RST,Second risk clearly leader ahead. Cultural compare reality production.,408,Uruguay,Suspicious,qboyle
92.79.235.27,98.137.203.184,57027,18538,TCP,1306,2023-10-24 21:14:51,9456,SYN,Up director she threat.,415,Rwanda,Suspicious,stephenware
161.182.176.88,135.240.178.197,37568,35702,ICMP,1164,2023-10-25 04:24:28,5560,RST,"Clear mouth late card. Authority both because ten yeah.
Suddenly fill remain clearly return food.",1680,Cayman Islands,Normal,shermanjoseph
85.34.165.48,192.75.161.182,23306,61472,ICMP,1279,2023-10-24 20:55:07,4326,FIN,Put training seven. Population experience race amount.,3443,French Southern Territories,Suspicious,sandersrebecca
210.148.131.237,93.13.61.215,15038,42352,UDP,126,2023-10-25 07:37:24,156,FIN,Wish plant hotel night human they. Sell notice build test. Tv commercial social citizen local.,231,Uganda,Normal,shernandez
172.252.143.144,109.156.112.84,21980,23562,TCP,1107,2023-10-24 22:07:57,6800,SYN,Activity event become author lose agency film.,2367,Saint Kitts and Nevis,Suspicious,teresathompson
39.126.150.183,161.228.170.132,12490,39938,ICMP,361,2023-10-25 07:40:55,3093,RST,Site star theory whose indeed. Phone see letter letter.,362,Christmas Island,Normal,ewilliamson
49.29.255.106,102.135.144.254,18943,27899,UDP,585,2023-10-25 01:34:45,7805,FIN,Year partner speak professor our reason. Follow car develop professor thus expect.,3083,Papua New Guinea,Normal,wtorres
17.61.108.132,69.192.153.237,33515,1717,ICMP,671,2023-10-25 01:18:38,7633,SYN,No actually south realize number order avoid. Church site everybody relate trip street a thousand.,1798,Japan,Normal,alexander03
131.55.90.183,44.138.48.248,62608,21002,UDP,1388,2023-10-24 15:38:40,442,RST,Add be old throw current theory city. Role action want sit century.,1300,Australia,Suspicious,phillipschristian
114.231.36.216,102.217.135.60,45824,18992,TCP,513,2023-10-24 17:02:29,5119,ACK,Special north raise police image community quite. Trouble serve agent cause.,1374,Malawi,Normal,whebert
147.114.23.175,189.39.74.138,36897,54484,TCP,1009,2023-10-25 12:31:27,4624,RST,Care measure perhaps never either he. Hot about might pick majority lawyer street.,3393,French Southern Territories,Suspicious,michaelgarcia
205.22.132.42,77.162.55.15,56952,53295,TCP,400,2023-10-25 11:12:20,1915,ACK,Fire ground model challenge. Method Congress determine like real create. Issue the full result way.,2448,Dominican Republic,Failed,michael07
109.156.143.220,130.34.96.95,59350,62139,ICMP,235,2023-10-24 23:14:07,6243,RST,Huge especially two friend light. Day suggest parent land card individual suddenly majority.,107,Hong Kong,Failed,mark95
51.157.77.97,151.164.246.158,57030,17854,UDP,822,2023-10-25 03:46:50,7539,ACK,Hope here serve war attack help information.,1580,Somalia,Suspicious,masondavid
125.183.244.38,27.210.176.125,49897,64290,TCP,226,2023-10-24 15:56:33,7871,RST,Yard husband ever between live need just near. Health no child Mrs statement.,3434,Greece,Failed,floresmichael
79.90.1.58,164.166.109.0,524,63023,UDP,1031,2023-10-24 18:46:43,7376,FIN,Magazine consumer understand sign. Science book allow effect.,1460,Estonia,Failed,udickerson
78.41.50.52,39.12.139.136,15634,1211,UDP,1276,2023-10-24 16:20:12,2639,ACK,Seek issue population society language program people. Wrong notice free behind much.,3365,Burundi,Suspicious,phammary
106.51.2.122,49.40.211.224,27378,49002,TCP,537,2023-10-25 07:09:37,4497,RST,Little forget production woman miss. Push common Republican others century. Level recent bill.,599,Honduras,Suspicious,smorris
160.174.255.205,206.36.137.151,64491,53711,TCP,240,2023-10-25 08:58:33,5378,SYN,Their exactly coach former all. Serve apply cover small season number maybe.,1594,Central African Republic,Suspicious,phillipstyler
7.23.26.183,178.200.25.132,35206,38019,UDP,1332,2023-10-24 20:28:13,5624,RST,Movie report reduce food college. Its off necessary himself coach about.,760,Georgia,Failed,vmcdaniel
5.169.32.111,181.63.23.97,7814,25771,UDP,1376,2023-10-24 15:34:47,4577,FIN,A support ball sit. Week argue memory account art know improve.,3185,Egypt,Failed,morrismiguel
88.169.252.245,17.181.83.70,15464,36216,ICMP,194,2023-10-25 11:23:12,5972,FIN,Hold despite new hotel especially indicate. Hair piece cover admit. Difference student my week.,2296,Barbados,Normal,melissadonaldson
113.30.14.10,99.65.179.87,25502,58557,UDP,1069,2023-10-24 16:33:08,8271,ACK,Young want civil over ever. Indicate market discuss. Wide week Mrs word you reflect.,549,Malaysia,Failed,reynoldstammy
137.141.34.69,198.114.150.73,40194,17651,UDP,1085,2023-10-24 21:32:11,4713,SYN,Tell beautiful work study environmental company simple. Physical sell item natural former key.,3094,Greenland,Normal,ganderson
70.23.173.143,208.30.166.165,42898,59957,TCP,801,2023-10-25 04:50:55,6206,RST,Common throw step pretty girl together. Congress despite from camera.,340,Chile,Failed,juarezlaura
174.80.255.36,43.75.237.62,1246,49984,ICMP,467,2023-10-25 12:56:35,8674,SYN,Stage its enter. Thing around may interview.,1812,Timor-Leste,Suspicious,qjenkins
17.245.189.141,199.22.235.130,52630,37731,UDP,1248,2023-10-24 22:32:16,1330,RST,Mind game knowledge region control water imagine. Church area how southern investment common.,538,Oman,Failed,michellevelasquez
175.23.17.241,140.147.107.167,15202,49004,ICMP,782,2023-10-25 11:31:20,3409,SYN,Large improve other deep. Lose agent whether. Fear into region others itself me foreign.,2345,Honduras,Suspicious,wyattkristin
134.12.238.215,6.160.47.66,49298,54914,ICMP,1399,2023-10-24 17:56:01,6995,ACK,Suddenly often executive pretty significant follow. Risk likely or look.,3564,Hungary,Failed,nathan90
185.44.23.38,126.108.114.72,58432,40813,TCP,483,2023-10-25 00:52:38,5797,ACK,Notice base off onto early approach. Investment energy according entire under work responsibility.,1504,Montenegro,Suspicious,jamieanderson
65.136.96.210,71.98.110.255,4084,33849,TCP,1083,2023-10-25 04:57:32,6504,ACK,"Make face beautiful win recently check.
Every show gun move. Around however street charge region.",1977,Christmas Island,Suspicious,hensonbarbara
145.10.13.98,191.216.247.2,22621,60664,TCP,1355,2023-10-25 08:51:55,4699,SYN,Form benefit between organization stock note. Director enjoy history size. Peace bit yeah sense.,140,Malta,Suspicious,tclarke
17.203.19.211,96.67.178.89,18117,43542,TCP,386,2023-10-24 17:09:32,1661,SYN,Thought successful save have. Point all even their military entire major.,808,India,Normal,lrodriguez
20.151.3.0,51.19.14.186,55141,60588,UDP,1262,2023-10-24 17:41:56,2890,SYN,"Mention popular up. Song ask building.
Candidate but notice. Have show question ever total.",3008,Turks and Caicos Islands,Normal,julie04
159.14.50.168,172.164.35.152,1043,9677,UDP,679,2023-10-25 03:55:45,1139,ACK,Serve price leg question own shoulder stay.,167,Djibouti,Normal,rday
150.108.109.106,26.76.158.27,61444,56048,TCP,1069,2023-10-25 01:36:57,5908,FIN,Close arrive attention avoid central hot them later. Maintain wear again begin event.,461,Saint Martin,Normal,bmcdonald
131.130.32.141,1.188.23.173,3045,3612,ICMP,1398,2023-10-24 21:05:13,9876,FIN,Lay behind necessary take hard assume.,242,Armenia,Failed,michael69
55.190.106.182,84.64.52.150,5054,372,ICMP,1178,2023-10-24 20:28:35,3333,SYN,"Use team example plant.
Test huge get just hand. Catch good case once.",1150,Slovakia (Slovak Republic),Normal,michael73
122.246.13.92,40.66.77.226,30893,62390,TCP,1333,2023-10-24 15:33:19,5569,RST,Campaign early argue view people. Report that throw.,3297,Turks and Caicos Islands,Suspicious,michellefreeman
4.95.207.139,155.164.122.199,33386,14167,ICMP,1468,2023-10-24 22:58:13,680,ACK,Appear business military reveal describe many if ground. System place century sense standard west.,3529,Somalia,Normal,tina06
118.124.228.39,183.98.142.144,13981,50696,UDP,1489,2023-10-25 03:52:31,8501,SYN,Shake can six suffer. Born necessary window through test. Every method they television they.,812,Aruba,Normal,shawnmoyer
59.95.218.226,64.7.9.56,34820,60573,ICMP,1067,2023-10-25 09:52:58,2606,FIN,Lay appear newspaper physical. Loss become mention language.,1917,Sierra Leone,Failed,kaylamitchell
202.99.191.55,154.88.72.166,12677,42490,TCP,266,2023-10-24 20:19:45,8116,ACK,Able available through reach. Man amount study kitchen find person.,2292,Togo,Suspicious,charlesjohnson
210.75.60.65,125.53.248.106,51575,25202,TCP,517,2023-10-25 14:03:37,1907,FIN,Age heart leave answer. Contain last career central resource foot end.,3239,Slovenia,Failed,bmartinez
36.49.254.216,217.43.145.170,26913,2390,ICMP,707,2023-10-25 08:29:41,8237,RST,"Rock face total say. Make six analysis.
Family federal town citizen. Movie soldier news.",341,Nauru,Suspicious,amy87
67.149.232.99,183.41.115.167,9344,33463,ICMP,362,2023-10-25 01:37:16,3057,SYN,Air stand bank morning process sound present. Possible early imagine a blue whatever.,2771,Russian Federation,Failed,colinmiller
122.163.139.16,219.116.76.203,63639,34878,TCP,159,2023-10-24 17:03:21,5727,ACK,Cover behind also human. Table of game trouble. Away six hard itself skin region.,1662,Antigua and Barbuda,Failed,espinozanathan
113.249.228.10,133.69.158.34,50808,34447,TCP,273,2023-10-25 11:02:59,5111,SYN,Fund certain understand lay sit dog. Summer ask fly watch allow result.,2206,Wallis and Futuna,Suspicious,tonyjuarez
171.177.111.12,179.164.1.216,54995,62734,ICMP,968,2023-10-25 09:27:05,7177,ACK,Body necessary community share crime order. Price fall international.,1311,Egypt,Normal,cjames
183.48.202.234,199.191.54.124,52976,64732,UDP,1443,2023-10-25 11:01:40,8617,RST,Born budget market consider fine. Compare American full.,1039,Switzerland,Normal,owensjames
78.129.204.21,189.255.54.169,5624,59088,ICMP,714,2023-10-24 21:14:14,7521,ACK,Its almost else want identify make. Pretty natural gas stand.,1386,United States Virgin Islands,Failed,jamesroth
20.125.237.177,84.119.38.238,57624,6200,ICMP,1017,2023-10-25 08:54:47,7592,SYN,Approach throw parent past sort learn case. Knowledge community attention clearly kid.,1458,Western Sahara,Failed,johnsondawn
68.149.246.60,59.77.240.214,4905,46595,TCP,1084,2023-10-24 19:15:15,1371,FIN,Both group east serve. Perform officer front everybody to recently box.,2021,Samoa,Suspicious,alexis49
155.40.108.87,39.118.118.125,49065,63482,UDP,1031,2023-10-25 03:59:15,6138,ACK,"Finish claim sometimes best.
Agency recently evening. Rise collection daughter.",116,Montserrat,Normal,thompsonlogan
80.10.240.180,164.162.254.18,54233,22823,TCP,469,2023-10-25 01:30:32,6543,FIN,Cost pull create who check officer. Table its conference everything far can.,1590,China,Failed,ericstevens
163.254.193.5,95.45.6.32,49604,5980,TCP,1378,2023-10-25 04:54:42,9085,FIN,Stop race owner two thus. Nice article old lawyer help you ground wear.,110,Luxembourg,Suspicious,austinfoster
110.68.141.248,176.15.30.171,41154,24262,TCP,404,2023-10-24 16:47:42,9641,FIN,Form class thank against across mouth. Number tell point series offer same.,2055,Cambodia,Normal,sharonsmith
30.232.90.135,199.99.87.233,1708,33759,TCP,662,2023-10-24 19:00:19,532,FIN,Suggest national Mr mind set form. Prove attorney religious actually back.,1055,Maldives,Suspicious,stephanie17
103.172.23.195,192.96.47.45,53368,33022,TCP,394,2023-10-25 12:11:30,579,FIN,Probably fire executive rather improve. Who up tax either certain. With piece economic.,1746,Norway,Normal,wendy69
219.15.197.28,10.98.91.227,39413,25637,ICMP,121,2023-10-25 14:27:52,4853,SYN,Nothing camera choose fish. Challenge truth society want.,3106,Israel,Failed,caitlyn37
131.238.30.34,211.48.159.20,50285,20652,TCP,479,2023-10-24 18:50:15,667,ACK,Sport should west kid. Story white future.,1787,Kuwait,Failed,jennifersmith
203.105.82.205,95.159.175.221,59690,11999,TCP,917,2023-10-25 01:44:18,6898,ACK,But by democratic long theory. Practice mind summer. Tough house no not sense.,1353,Mexico,Suspicious,yolandajohnson
91.238.161.47,198.51.178.41,4810,38310,TCP,650,2023-10-25 10:05:30,5502,RST,Start young affect ball. Behind TV evidence current. Now gas stay fly such go collection bar.,3488,Kenya,Suspicious,sullivancolin
123.176.161.5,83.20.46.71,18258,9571,ICMP,142,2023-10-25 04:36:14,8417,RST,Student every never pretty wrong agree participant. Political recognize line hundred dinner.,2823,Sudan,Normal,dawn71
153.93.172.141,93.204.200.109,43067,11213,ICMP,79,2023-10-24 21:57:29,7185,FIN,Foot month door source. Contain fact father when red. Like during laugh.,1155,Bolivia,Suspicious,angela12
24.129.143.145,172.126.53.237,8359,2462,UDP,1241,2023-10-25 08:05:48,238,RST,Meet field product within. Firm soon table event. On under suffer speech make who recent.,1471,Sierra Leone,Normal,mariahess
90.163.106.15,100.44.60.2,25411,30221,ICMP,1363,2023-10-24 19:24:01,3396,SYN,Tell owner name past family piece. Hope force live natural.,769,Hungary,Suspicious,greerjohn
124.66.19.133,213.19.200.233,8965,46102,ICMP,689,2023-10-25 07:18:36,5383,FIN,Environment remain possible sea television return crime. Beyond treatment ok.,3528,Solomon Islands,Normal,ellisstefanie
